Цена;Качество;Срок поставки;Надёжность;Решение
низкая;высокое;быстрая;высокая;Да
средняя;высокое;нормальная;высокая;Да
высокая;высокое;быстрая;высокая;Нет
низкая;среднее;медленная;средняя;Да
низкая;низкое;медленная;низкая;Нет
средняя;среднее;нормальная;средняя;Да
высокая;среднее;медленная;средняя;Нет
средняя;низкое;быстрая;высокая;Нет
низкая;высокое;медленная;средняя;Да
средняя;высокое;медленная;низкая;Нет
высокая;высокое;нормальная;средняя;Нет
низкая;среднее;нормальная;высокая;Да
средняя;среднее;быстрая;низкая;Нет
низкая;низкое;нормальная;средняя;Нет
